condition_trigger,vital_anomaly,drug_context,recommended_action
Suspected Anaphylaxis,"Oxygen < 92%, HR > 100","Antibiotics, Drug X",Stop infusion immediately. Administer Epinephrine 0.3mg IM. Start high-flow O2.
Hypoglycemic Shock,"Sluggish, Cold sweat","Insulin, Humalog",Administer 15g fast-acting glucose. Recheck BGL in 15 mins. Notify physician.
Opioid Respiratory Depression,"RR < 10, Oxygen < 90","Morphine, Fentanyl",Administer Naloxone 0.4mg IV. Stimulate patient. Prepare for bag-mask ventilation.
Fluid Overload,Shortness of breath,"Normal Saline, LR",Stop IV fluids. Place patient in high-Fowler's position. Consider Furosemide.
Tachycardic Reaction,HR > 120,"Albuterol, Stimulants",Monitor EKG. Vagal maneuvers. Prepare Adenosine if unstable.
Baseline Stability,Normal Vitals,"Saline Flush, Vitamins",Continue routine monitoring. No acute intervention required.
Hypertensive Crisis,"BP > 180/120, Headache","Clonidine, Labetalol",Administer IV antihypertensives. Monitor BP every 5 mins. Assess for end-organ damage.
Hypotensive Episode,"BP < 90/60, Dizziness","Diuretics, Nitrates",Place patient supine with legs elevated. Administer IV fluid bolus. Consider vasopressors.
Acute Asthma Exacerbation,"Wheezing, SpO2 < 90%","Albuterol, Ipratropium",Administer nebulized bronchodilators. Give IV corticosteroids. Consider Magnesium Sulfate.
Sepsis Protocol,"Temp > 38 or < 36, HR > 90, RR > 20",Broad-spectrum Antibiotics,Obtain blood cultures. Administer broad-spectrum antibiotics within 1 hr. Start IV fluid resuscitation.
Myocardial Infarction,"Chest pain, ST elevation","Aspirin, Nitroglycerin",Administer Aspirin 324mg. Give Nitroglycerin sublingual. Obtain 12-lead EKG. Activate Cath Lab.
Pulmonary Embolism,"Sudden SOB, Pleuritic chest pain","Heparin, Enoxaparin",Start therapeutic anticoagulation. Order CT Angiogram. Consider thrombolytics if unstable.
Stroke Alert,"Facial droop, Arm weakness, Slurred speech",tPA (Alteplase),Activate Stroke Team. Obtain stat non-contrast CT head. Assess NIHSS. Prepare for tPA if eligible.
Seizure Activity,"Tonic-clonic movements, Altered LOC","Lorazepam, Levetiracetam",Protect airway. Administer IV Lorazepam. Load with antiepileptic drug. Monitor EEG.
Allergic Reaction (Mild),"Urticaria, Pruritus","Diphenhydramine, Famotidine",Administer antihistamines. Monitor for progression to anaphylaxis. Observe for 1-2 hours.
